        name    code
0      CJ오쇼핑  035760
1      CMG제약  058820
2  IBKS제8호스팩  277410
3        KTH  036030
4  SBI인베스트먼트  019550
피에스케이 134563 20331604
하이즈항공 -34454 17696167
한국정보통신 -31192 38812743
한글과컴퓨터 -4866 23082211
한네트 -25031 11563700
한컴유니맥스 -220381 18152087
헝셩그룹 2138356 80000000
현대공업 12266 15340000
효성오앤비 -14373 8490000
흥구석유 14413 15000000
JTC -785834 35005517
KH바텍 245416 20000000
MP그룹 0 80808407
PN풍년 0 10000000
SM Life Design 189355 44190228
UCI 0 12539393
감마누 0 24435800
경남제약 0 11248376
경동제약 56055 26550000
고영 -134778 13687951
골프존뉴딘홀딩스 -264738 42836818
광진실업 0 6405405
광진윈텍 703 9658393
국보디자인 97287 7500000
글로벌텍스프리 374958 19283377
금화피에스시 -8861 6000000
나무가 18371 3430020
넵튠 -71494 19522052
뉴프렉스 127832 14104026
다믈멀티미디어 23928 6561176
대창솔루션 -525249 18608163
동국S&C -402701 57143000
동양피엔에프 0 10713625
동일금속 726 7000000
동일기연 -1 6149683
디엔에프 -351668 10761828
딜리 10267 29350000
루미마이크로 -2911 42246494
마이크로프랜드 -13437 10819866
맥스로텍 -9858 24866457
멀티캠퍼스 -5771 5926779
메가스터디교육 -4583 2324376
모베이스 -95117 23958188
미코 89066 31316603
보라티알 -300 6750733
비츠로셀 -218486 19590431
삼륭물산 6768 15125000
삼일기업공사 3019 12400000
삼지전자 -52335 16318522
삼진엘앤디 0 24959232
삼천당제약 484122 22105813
상상인 -525470 47748397
상지카일룸 -61099 36840456
서부T&D 86791 51871207
세종텔레콤 -2634916 600326126
슈피겐코리아 -6115 6216363
스킨앤스킨 153222 102746035
스튜디오드래곤 173454 28037240
시큐브 2356 36000000
신성델타테크 -204457 22088547
신텍 -164457 63987602
씨큐브 -95696 8050441
아미노로직스 -13721 87826844
아미코젠 -115629 19191510
아이디스홀딩스 -3612 10347756
아이에이 -64946 41288060
아진엑스텍 21025 6805761
아프리카TV -214600 11305067
알서포트 -14252 53267083
알에스오토메이션 91300 9103140
알티캐스트 -245916 21223160
액트 -4152 17366763
어보브반도체 3775 17459653
에스넷 20000 16075215
에스디시스템 -67634 8762678
에스에이엠티 -21220 99995067
에스에프씨 -19999 43628976
에스엔피월드 -68542 7876580
에스티아이 36756 15830000
에스티오 -5990 8455144
에스폴리텍 -15871 16334678
에이디칩스 211171 24692169
에이치엔티 0 13402200
에이텍티앤 122689 5340000
에임하이 0 65262623
엘컴텍 -4390 84447519
엠젠플러스 0 14571042
영인프런티어 -74000 17600341
영화테크 37792 5345090
오픈베이스 1127 31422383
옴니텔 -51126 21698640
옵토팩 3975 4987409
와이엔텍 -110863 18199659
와이오엠 0 11563534
우리기술투자 -184348 84000000
웰크론 44945 25490497
위즈코프 448 37157072
유아이엘 -93860 21784936
유지인트 932 79885108
유티아이 -20083 5332145
이글벳 0 11668434
이미지스 4346 7669128
이엠넷 1 11138039
이즈미디어 7867 7045100
이지바이오 -1196362 57927351
이크레더블 419 12043600
인터불스 0 8662158
일진파워 -346029 15078709
제낙스 -92785 22486744
제노레이 -131376 4177256
제노포커스 -161268 20999085
제로투세븐 25157 12290000
제우스 157755 10384000
제이티 -95361 9021214
제일바이오 34560 15000000
조아제약 18858 28310231
진바이오텍 4731 8610587
진양제약 0 12000000
참좋은여행 213399 14000000
창해에탄올 -27973 9190885
케이사인 3 64671257
케이씨에스 7950 12000000
케이씨티 -1504 17150000
코디엠 131262 141046704
코렌텍 2108 9937153
코센 -1753 41732387
코프라 -231228 21115634
크린앤사이언스 74841 6500000
테스 -81517 19768226
테크윙 -129898 18827732
트루윈 671 10038714
티플랙스 1 24268402
파세코 -4872 14000000
파인텍 -11099 10236407
파트론 -899420 54156410
팬엔터테인먼트 -1226 13742997
포스코엠텍 -8583 41642703
포티스 49 44874782
퓨쳐켐 596 5622139
프리엠스 0 6000000
플레이위드 0 3460850
하림홀딩스 -77528 89157190
하이록코리아 291421 13613232
한국가구 0 3000000
한국기업평가 -573 4540514
한국알콜 -255292 21605760
한국정보인증 1 31165000
한솔씨앤피 -2940 3993673
한양디지텍 42 10000000
한양이엔지 -220224 18000000
해성옵틱스 0 16675000
핸디소프트 0 7463009
현대통신 10834 8625000
현진소재 -3 12034034
홈센타홀딩스 -41527 84317897
화진 2916 24039448
힘스 -6553 5261360
APS홀딩스 -2915 20394221
DMS 22031 23012487
JW신약 -162227 41521606
KG이니시스 137263 27904434
KT서브마린 20000 21900000
SIMPAC Metal 12887 13000000
갤럭시아컴즈 -101159 39229838
고려신용정보 116781 14300000
골든센츄리 -9386 93400000
나노 -126634 15705238
나이스디앤비 36921 15400000
내츄럴엔도텍 -141574 20231040
넥스턴 -6767 11846520
누리텔레콤 -57433 12055535
뉴로스 -122985 19152272
뉴보텍 0 24613919
대명코퍼레이션 -335458 100800450
대양전기공업 39387 9567333
대한과학 -81740 7454490
대한광통신 -706091 59741625
더블유에프엠 92457 22173875
데일리블록체인 -91096 28992716
동국알앤에스 0 18400000
동성화인텍 141512 26983609
듀오백 2268 11968040
디지털대성 55362 22444723
레이젠 0 29146629
로고스바이오 -45935 3594724
리드코프 17699 26749230
리켐 -1 3709898
메가스터디 -106749 4016291
메가엠디 69597 22368593
메지온 -56341 8589650
메타바이오메드 -59425 23862351
모두투어 -786260 18900000
모바일리더 0 3283714
모아텍 10657 14331185
모헨즈 -26742 10920000
무림SP -10491 22137500
미래생명자원 0 17101428
미래컴퍼니 -6654 7864540
민앤지 2365 11886628
바른테크놀로지 856 32795285
백금T&A 302768 14513822
뷰웍스 -48292 10001865
비엠티 132003 8146529
빅텍 10001 24500000
상아프론테크 -125247 14263536
선광 -44433 6600000
선익시스템 1817 6000000
성우테크론 8194 9054055
성창오토텍 0 7300000
세종메디칼 -206104 6777741
솔루에타 0 12086586
슈프리마에이치큐 16507 10471840
승일 -41727 6132112
신신제약 0 15170500
신진에스엠 -22971 8972183
신흥에스이씨 110706 6551683
실리콘웍스 39425 16264300
싸이맥스 -154350 10576294
씨젠 21947 26234020
씨티씨바이오 40429 17625133
아세아텍 -38087 17500000
알비케이이엠디 8275 90609194
알에프텍 102302 19050000
에스와이패널 -781130 24100000
에스제이케이 -14919 34719030
에스티팜 -20020 18656000
에이치엘비 -408060 36563556
에이텍 731 8260000
엠에스오토텍 -10437 27205022
영풍정밀 -245342 15750000
오디텍 43731 11746609
오리엔탈정공 623 40545960
오리콤 -11456 11498750
와이비엠넷 18 16312697
우노앤컴퍼니 39989 13573965
우리기술 2372 85399992
원익 833099 17934432
원익테라세미콘 -774768 11303840
원풍물산 -126414 38391781
웰크론한텍 -9000 19362573
유비쿼스홀딩스 -1761 20696628
이녹스 2398 9350844
이랜텍 3079 20478206
이스트소프트 16341 9899400
이원컴포텍 6054 14247866
이지웰페어 -20305 9893000
인성정보 0 19158271
인터파크 438744 33128480
인포바인 6589 3192883
잉글우드랩 26000 19867866
정상제이엘에스 -65030 15677552
제넥신 -191385 20394384
중앙백신 18481 7320000
중앙에너비스 8 1245426
지스마트글로벌 -923593 20810121
지엠피 -63588 25766759
청보산업 -77 8178771
초록뱀 101436 64839923
칩스앤미디어 4010 7411627
카카오M 502896 25291705
케이맥 14762 6990686
케이아이엔엑스 72393 4880000
케이피에프 2265 15040234
코세스 42322 16851962
코스온 136328 18453079
코위버 -6415 9796800
탑엔지니어링 45226 15976257
토탈소프트 6578 8558040
톱텍 -442997 36796254
투비소프트 -118984 19711923
티피씨글로벌 536 9450000
파라텍 1 16840552
파인디앤씨 244589 24068137
팬젠 0 9615781
풍강 0 9879313
피델릭스 9098 20567273
피앤텔 -24999 29528731
하이비젼시스템 1165 14942112
하이텍팜 11575 7088782
한국선재 -29279 24522254
한국정밀기계 0 8404000
한국코퍼레이션 88369 26312841
한국테크놀로지 -44256 48209149
한국팩키지 0 25000000
한일단조 -23095 29891328
한컴MDS 48535 8828608
화신정공 -206142 36373887
화이브라더스코리아 -7841 28613475
휴맥스 168290 23911798
휴메딕스 -37599 9347753
AP시스템 -54396 13899212
CJ E&M 458867 38732089
GST 26097 9317745
HB테크놀러지 -2329800 78990426
HRS 8146 16354800
ITX엠투엠 9121 16466131
KD건설 84590 355691714
KG ETS -82928 36000000
NHN벅스 0 14827550
SBI핀테크솔루션즈 -6749 24656540
경남스틸 -42074 25000000
국순당 -1695 17858304
기가레인 5973 50327715
네오위즈 -1061351 21915008
네오팜 98162 7461237
네패스 -290735 22360610
넥스트아이 -40794 68480595
녹십자엠에스 0 9560000
뉴인텍 483 49125160
다날 -9073 54216498
대동금속 0 480000
대림제지 158349 45000000
대성창투 1 40000000
대성파인텍 -358869 31301281
대신정보통신 581 38428915
대원 -22486 11050000
대주산업 -866 35392350
더블유게임즈 -237140 18160276
데브시스터즈 -3802 11182635
동국제약 -108931 8892000
두올산업 57773 13015270
디알텍 -1704685 43762191
디에스티로봇 14615 69213763
디에이테크놀로지 -104716 7828272
디엔에이링크 598 10737800
디오 -136980 15171403
디이엔티 10625 8979530
라이브플렉스 8 83243054
램테크놀러지 0 11426716
러셀 -69904 30812000
레고켐바이오 -93953 10589882
링크제니시스 -7874 10000000
마크로젠 5390 10605454
미투온 -111036 31172770
바이오로그디바이스 23090 27402512
보령메디앙스 8997 11800000
비즈니스온 96193 9544940
삼본정밀전자 0 9500000
삼영엠텍 -17463 13000000
삼화네트웍스 1 42857933
서울리거 -90590 21115308
서울반도체 543180 58305400
서울제약 0 8485499
서호전기 -113363 5150000
세동 586 19668840
세화피앤씨 0 20743195
쇼박스 -1536009 62600000
슈프리마 189184 7080273
